,forest,geoProv,geoDesc,order_r,soil_name,muSymb_x,Area,C_sum,N_sum,C_Mg
130,DEF,coastal plain,flood plains,vertisols,sharkey,Sa,859.6,11812.63,1864.18,10154139.43
322,TEF,coastal plain,flood plains,alfisols,tippah,5C,10.2,64.18,4.75,654.6
288,SSEF,piedmont,flood plains,entisols,toccoa,To,14.66,0,19.09,0
54,CEF,coastal plain,flood plains,inceptisols,wehadkee,Wc,328.88,0,401.05,0
168,HEF,piedmont,flood plains,inceptisols,wehadkee,Whs,5.88,0,120.31,0
285,SSEF,piedmont,flood plains,inceptisols,wehadkee,WeA,17.64,0,401.05,0
57,CEF,coastal plain,flood plains,inceptisols,wehadkee,Wc,328.88,0,200.52,0
172,HEF,piedmont,flood plains,inceptisols,wehadkee,Whs,5.88,0,60.16,0
293,SSEF,piedmont,flood plains,inceptisols,wehadkee,WeA,17.64,0,200.52,0
314,SSEF,piedmont,flood plains,ultisols,wickham,Wk,71.72,676.01,63.01,48483.41
10,BCEF,blue ridge,flood plains,inceptisols,french,Fr,1.64,0,0,0
11,BCEF,blue ridge,flood plains,inceptisols,french,Fr,19.2,0,0,0
36,BVEF,blue ridge,flood plains,inceptisols,toxaway,ToA,1.94,0,54.32,0
17,BCEF,blue ridge,flood plains,alfisols,hemphill,HpA,1.07,572.94,39.93,613.04
62,CEF,coastal plain,interfluves,ultisols,appling,Ap,70.83,162.41,18.35,11503.24
303,SSEF,piedmont,interfluves,ultisols,cataula,Cc,78.82,0,59.93,0
311,SSEF,piedmont,interfluves,ultisols,cataula,Cc,78.82,0,29.97,0
60,CEF,coastal plain,interfluves,alfisols,enon,En,1090.95,497.4,49.27,542638.26
63,CEF,coastal plain,interfluves,ultisols,hiwassee,HwC2,21.67,388.49,56.06,8418.61
64,CEF,coastal plain,interfluves,ultisols,hiwassee,HwC2,79.66,388.49,56.06,30947.25
61,CEF,coastal plain,interfluves,alfisols,mecklenburg,MkC,16.23,226,29.31,3668
161,EEF,coastal plain,knolls,ultisols,esto,Et,18.79,390.51,0,7337.7
162,EEF,coastal plain,knolls,ultisols,esto,Ew,60.2,390.51,0,23508.74
142,EEF,coastal plain,knolls,ultisols,esto,Et,18.79,390.51,0,7337.7
143,EEF,coastal plain,knolls,ultisols,esto,Ew,60.2,390.51,0,23508.74
155,EEF,coastal plain,knolls,ultisols,esto,Et,18.79,390.51,0,7337.7
156,EEF,coastal plain,knolls,ultisols,esto,Ew,60.2,390.51,0,23508.74
120,ChEF,coastal plain,marine terraces,ultisols,albany,2,5.69,240.99,10.41,1371.24
226,OEF,piedmont,marine terraces,ultisols,albany,54,1.45,60.25,2.6,87.36
123,ChEF,coastal plain,marine terraces,ultisols,albany,2,5.69,240.99,10.41,1371.24
229,OEF,piedmont,marine terraces,ultisols,albany,54,1.45,60.25,2.6,87.36
191,HaEF,coastal plain,marine terraces,ultisols,mclaurin,Ml,257.55,602.26,33,155112.06
187,HaEF,coastal plain,marine terraces,ultisols,saucier,Sf,106.03,2203.46,124.61,233633.28
188,HaEF,coastal plain,marine terraces,ultisols,saucier,ShC,126.32,2203.46,124.61,278341.56
189,HaEF,coastal plain,marine terraces,ultisols,saucier,SnB,1.45,2203.46,124.61,3195.02
190,HaEF,coastal plain,marine terraces,ultisols,saucier,SnB,56,2203.46,124.61,123393.98
276,SFAEF,coastal plain,marine terraces,alfisols,bernaldo,10,155.89,0,20.81,0
273,SFAEF,coastal plain,marine terraces,alfisols,attoyac,7,5.65,48.38,4.18,273.34
209,HaEF,coastal plain,marine terraces,ultisols,smithton,St,60.31,0,0,0
261,SEF,coastal plain,marine terraces,ultisols,bonneau,BoA,42.46,254.87,32.91,10821.58
250,PEF,coastal plain,marine terraces,alfisols,acadia,Ac,33.03,112.82,9.11,3726.52
254,SEF,coastal plain,marine terraces,ultisols,bayboro,Ba,2.71,683.28,0,1851.69
144,EEF,coastal plain,marine terraces,ultisols,benndale,Be,88.38,223.75,0,19775.25
145,EEF,coastal plain,marine terraces,ultisols,benndale,Bg,90.49,223.75,0,20247.37
147,EEF,coastal plain,marine terraces,ultisols,benndale,Be,88.38,223.75,0,19775.25
148,EEF,coastal plain,marine terraces,ultisols,benndale,Bg,90.49,223.75,0,20247.37
252,SEF,coastal plain,marine terraces,ultisols,bethera,Be,146.37,1176.87,340.96,172258.28
281,SFAEF,coastal plain,marine terraces,alfisols,bienville,12,1.51,0,0,0
282,SFAEF,coastal plain,marine terraces,alfisols,bienville,12,12.47,0,0,0
121,ChEF,coastal plain,marine terraces,ultisols,blanton,7,30.56,312.13,21.38,9538.59
106,ChEF,coastal plain,marine terraces,histols,dorovan,20,3.34,4125.77,0,13780.08
251,PEF,coastal plain,marine terraces,alfisols,glenmora,GoB,5.47,60.43,5.39,330.56
258,SEF,coastal plain,marine terraces,ultisols,goldsboro,GoA,115.66,1338.88,126.84,154854.3
246,PEF,coastal plain,marine terraces,alfisols,gore,Gr,4.68,0,0,0
247,PEF,coastal plain,marine terraces,alfisols,gore,Gr,176.68,0,0,0
149,EEF,coastal plain,marine terraces,ultisols,greenville,Gv,3.15,57.22,4.77,180.26
266,SEF,coastal plain,marine terraces,ultisols,lynchburg,Ly,5.01,225.88,0,1131.66
263,SEF,coastal plain,marine terraces,ultisols,ocilla,Oc,2,47.65,1.72,95.29
255,SEF,coastal plain,marine terraces,ultisols,wahee,Wa,621.69,0,299.98,0
315,SSEF,piedmont,marine terraces,ultisols,wickham,Wk,71.72,676.01,63.01,48483.41
271,SFAEF,coastal plain,marine terraces,alfisols,woden,67,2.34,95.63,0,223.77
272,SFAEF,coastal plain,marine terraces,alfisols,woden,67,69.37,95.63,0,6633.79
249,PEF,coastal plain,marine terraces,alfisols,wrightsville,Wr,2.62,90.51,8.75,237.15
256,SEF,coastal plain,marine terraces,ultisols,craven,Cv,254.08,901.96,112.5,229168.84
