forest,muSymb,MUname,order,soil_name,Area,order_r,
EEF,Gv,Greenville fine sandy loam,ultisols,greenville,3.15,ultisols,
EEF,Lu,Lucy loamy sand,ultisols,lucy,44.58,ultisols,
EEF,Or,Orangeburg fine sandy loam,ultisols,orangeburg,40.41,ultisols,
EEF,Pl,Plummer loamy sand,ultisols,plummer,6.05,ultisols,
EEF,Po,Poarch fine sandy loam,ultisols,poarch,2.66,ultisols,
EEF,Ru,Rustun very fine sandy loam,ultisols,ruston,5.09,ultisols,
EEF,Sa,Saffell gravelly fine sandy loam,ultisols,saffell,52.90,ultisols,
EEF,Su,Sunsweet fine sandy loam,ultisols,sunsweet,14.46,ultisols,
EEF,Tr,Troup fine/loamy sand,ultisols,troup,462.94,ultisols,
EEF,47,Troup-Orangeburg-Cowarts complex,ultisols,troup,1.55,ultisols,
EEF,Wa,Wagram loamy sand,ultisols,wagram,100.17,ultisols,
EEF,W,Water,water,Water,149.25,water,
HaEF,At,Atmore,Ultisols,atmore,4.23,ultisols,
HaEF,EtB,Wadley loamy fine sand,Ultisols,wadley,42.98,ultisols,
HaEF,EuE,Wadley and Poarch soils,Ultisols,wadley,70.32,ultisols,
HaEF,Hl,Harleston fine sandy loam,Ultisols,harleston,30.44,ultisols,
HaEF,Lt,Latonia loamy sand,Ultisols,latonia,4.16,ultisols,
HaEF,Ml,McLauring fine sandy loam,Ultisols,mclaurin,257.55,ultisols,
HaEF,Po,Poarch fine sandy loam,Ultisols,poarch,454.35,ultisols,
HaEF,Ps,Ponzer and Smithton,Histols/Ultisols,ponzer,334.32,histols,
HaEF,Ru,Ruston fine sandy loam,Ultisols,ruston,424.06,ultisols,
HaEF,Sf,Saucier fine sandy loam,Ultisols,saucier,106.03,ultisols,
HaEF,ShC,"Saucier, Smithton and Susquehanna soils, rolling",Ultisols,saucier,126.32,ultisols,
HaEF,SnB,Saucier-Susquehanna complex,Ultisols/Alfisols,saucier,1.45,ultisols,
HaEF,SnB,"Saucier-Susquehanna complex
",Ultisols/Alfisols,saucier,56.00,ultisols,
HaEF,SsE,Smithdale fine sandy loam,Ultisols,smithdale,56.60,ultisols,
HaEF,St,Smithton fine sandy loam,Ultisols,smithton,60.31,ultisols,
HaEF,W,Water,Water,water,0.45,water,
HEF,Bfs,Buncombe loamy sand,Entisols,buncombe,1.55,entisols,
HEF,Cot,Congaree and Toccoa soils,Entisols,congaree,132.00,entisols,
HEF,Cst,Chewacla and Star soils,Inceptisols,chewacla,10.15,inceptisols,
HEF,Cy,Cecil,Ultisols,cecil,156.57,ultisols,
HEF,Dg,Davidson loam/clay loam,Ultisols,davidson,771.73,ultisols,
HEF,GgF2,"Gwinnett loam, eroded",Ultisols,gwinnett,3.91,ultisols,
HEF,PfE,Pacolet sandy loam,Ultisols,pacolet,132.65,ultisols,
HEF,Sen,Pacolet sandy loam,Inceptisols,pacolet,2.69,inceptisols,
HEF,Va,"Vance sandy loam/sandy clay loam, eroded",Ultisols,vance,423.84,ultisols,
HEF,W,Water,Water,water,7.75,water,
HEF,Whs,"Wehadkee soils, frequently flooded",Inceptisols,wehadkee,5.88,inceptisols,
HEF,Wi,"Wilkes sandy loam, eroded",Alfisols,wilkes,209.02,alfisols,
OEF,11,Boulogne sand,Spodosols,boulogne,42.42,spodosols,
OEF,23,Leon sand,Spodosols,leon,134.85,spodosols,
OEF,24,"Leon-Evergreen complex, depressional",Spodosols,leon,29.37,spodosols,
OEF,26,Kingsferry and Allanton,Spodosols,kingsferry,41.92,spodosols,
OEF,29,Mascotte fine sand,Spodosols,mascotte,277.41,spodosols,
OEF,33,Olustee-Pelham complex,Ultisols and Spodosols,olustee,32.23,ultisols,
OEF,36,"Pantego-Pamlico, loamy substratum complex, depressional",Ultisols and Histosols,pantego,273.17,ultisols,
OEF,37,Pelham fine sand,Ultisols,pelham,214.33,ultisols,
OEF,40,"Pamlico muc, loamy substratum, depressional",Histols,pamlico,2.22,histols,
OEF,42,Pottsburg sand,Spodosols,pottsburg,26.89,spodosols,
OEF,47,Sapelo fine sand,Spodosols,sapelo,50.38,spodosols,
OEF,54,Albany fine sand,Ultisols,albany,1.45,ultisols,
PEF,Ac,Acadia silt loam,Alfisols,acadia,33.03,alfisols,
PEF,BeB,Beauregard silt loam,Ultisols,beauregard,1149.59,ultisols,
PEF,Ca,Caddo silt loam,Alfisols,caddo,2.15,alfisols,
PEF,Ca,Caddo silt loam,Alfisols,caddo,206.36,alfisols,
PEF,ChB,Cahaba fine sandy loam,Ultisols,cahaba,0.75,ultisols,
PEF,Eu,Betis (eustis) loamy fine sand,Ultisols,betis,26.18,ultisols,
PEF,GoB,Glenmora silt loam,Alfisols,glenmora,5.47,alfisols,
PEF,Gr,Gore very fine sandy loam,Alfisols,gore,4.68,alfisols,
PEF,Gr,"Gore very fine sandy loam
",Alfisols,gore,176.68,alfisols,
PEF,Gy,Guyton-Ouachita complex,Inceptisols/Alfisols,guyton,6.26,inceptisols,
PEF,Gy,"Guyton-Ouachita complex
",Inceptisols/Alfisols,guyton,31.92,inceptisols,
PEF,KnB,Kolin silt loam,Alfisols,kolin,119.71,alfisols,
PEF,LuC,Briley (lucy) loamy fine sand,Ultisols,lucy,15.20,ultisols,
PEF,MaC,Malbis fine sandy loam,Ultisols,malbis,559.03,ultisols,
PEF,Re,"Rexor-Nugent complex, frequently flooded",Alfisols/Entisols,rexor,29.02,alfisols,
PEF,Rs,Ruston fine sandy loam,Ultisols,ruston,2.16,ultisols,
PEF,Rs,"Ruston fine sandy loam
",Ultisols,ruston,438.60,ultisols,
PEF,Sm,Smithdale fine sandy loam,Ultisols,smithdale,202.54,ultisols,
PEF,W,Water,Water,water,5.26,water,
PEF,Wr,Wrightsville silt loam,Alfisols,wrightsville,2.62,alfisols,
